,WMT,SLB,COP,MCD,ADBE,CAT,D,JPM,MS,MMM,GS,NEE,AAPL,ABBV,SO,^GSPC,MRK,^IXIC,AMZN,GOOGL,JNJ,^RUT,^VIX,PFE,AEP,UNH,CVX,GE,XOM,EOG,BA,NVDA,HON,DUK,BAC,PG,KO,MSFT,^DJI,V
count,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0,1254.0
mean,0.0008298096976737282,0.0009745347636037531,0.000999819022549733,0.0005921049870313756,0.00032755086349630703,0.001163064743653821,1.6858427225124032e-05,0.001121948935879955,0.001243828638049583,0.00048537692671777444,0.001234828456432972,0.00043423168815810383,0.000961084374321909,0.00082292349876634,0.0006372528358179739,0.0006195769310540712,0.0002747540176877603,0.0006826401233029068,0.000664490659295917,0.000867144254202034,0.00021269667322117126,0.00046372196776572655,0.0027232433784242704,-1.6697963486585785e-05,0.00045020248959733194,0.000307685482555,0.0006663034698101339,0.0018446585117375643,0.0010452577232468391,0.0011193042716254517,0.0006773719248303602,0.0027120133673459138,0.0005660889727413576,0.0005060668830147378,0.0008202498524402573,0.00046537301398416923,0.0005518016034842757,0.0009100312861035983,0.0004937917472142351,0.0006565033739146422
std,0.013242460810266952,0.026644002356084814,0.023292578148888552,0.011046258422965494,0.022784918426627283,0.018842629277451724,0.01453749077172222,0.01694565297166794,0.019169134569945484,0.017557664278925505,0.018397857237960624,0.017036924422203833,0.018907048919254838,0.014342012851207394,0.012290378136388887,0.011200482035428864,0.013989290683189127,0.014769360967010436,0.022524541289633607,0.019588729651404197,0.01063178550657857,0.015003286297485192,0.08205306049415637,0.01618575313400502,0.012991480114725975,0.01795010677526899,0.017735075375518036,0.021589952240150104,0.01907272544943611,0.025146519606258345,0.026480074749819938,0.03343571809429801,0.014282540308747874,0.012058980805528183,0.018973580046434832,0.010873625952466416,0.010795405256593647,0.01710355697288225,0.009996253887566812,0.014639561727973172
min,-0.113757514659515,-0.11688931617799392,-0.1022619432836076,-0.057058485842123474,-0.1679317021312774,-0.08635626898607429,-0.11004995221076186,-0.08344324741999154,-0.09507836432908534,-0.11034992002457888,-0.09211501837775027,-0.08971888577910336,-0.09245607865732186,-0.12566419922817196,-0.05253381686372538,-0.05974960534553109,-0.0986304380456633,-0.05968060766968586,-0.140494377749234,-0.09509396421334504,-0.07591652566271856,-0.07576039283049574,-0.35753873962348437,-0.07293970653968118,-0.05440086938463873,-0.22379665936207493,-0.08413582082795656,-0.11096310175561863,-0.08825266368813,-0.1080018387784294,-0.16424956029993376,-0.16968164809235808,-0.07617447090540763,-0.04698702962901258,-0.1106331522635785,-0.06232220028717106,-0.06962605688164036,-0.07715632986672205,-0.0689818816654757,-0.07737411094767732
25%,-0.005729595857968339,-0.012766083519894333,-0.011694766164186465,-0.005655638446302319,-0.010327749807321124,-0.008964037518352924,-0.007536172823719239,-0.00777807971880265,-0.008807891069927437,-0.008262187161644619,-0.008938380548599745,-0.008436551392406899,-0.008323360524570222,-0.006443192127174285,-0.006418733301961965,-0.00481036586671138,-0.0065669589674964,-0.00676347304083022,-0.011320028124784276,-0.009568992371465274,-0.005439460110108707,-0.008812124669372562,-0.041716277837696075,-0.009328966845163877,-0.006695237564361023,-0.0072769464469606415,-0.008443541479227601,-0.00949656355139375,-0.01037217536051821,-0.011897818543678246,-0.013143521957181298,-0.015972015168334575,-0.006964436306074184,-0.0065360592267394435,-0.009712249571106502,-0.0053450788429613705,-0.005147432369172533,-0.007874379104372997,-0.004572414945178294,-0.007122829874958575
50%,0.0009071495277275243,0.0007921030396994544,0.0005103467229354841,0.000617540431722019,0.00071656296608269,0.001030833582776447,0.00040005282857924485,0.0011162086509829416,0.001173299924171145,0.00026580986413771157,0.0007382607807091546,0.0008531279998609254,0.0011870309879777885,0.001216761996872262,0.0006813634923606982,0.0009118555806492123,0.0002860342609015687,0.001212469337821931,0.00041786492458539826,0.001420443545554817,0.0003425638806694442,0.0005536429600828674,-0.00792049115494975,-0.0007572733521319375,0.0007648295297950636,0.0008373603973809152,0.001043509199760706,0.0017480941042588016,0.00073400983624472,0.0007346064151489973,-3.5886918620942065e-05,0.0029901944692684035,0.0009330787540375862,0.0007249895814313012,0.0004575564233844087,0.0007589554723181902,0.0008110438198715153,0.0009327704153764271,0.0007066877321533216,0.0013467924379138019
75%,0.00772554869057801,0.01464376436835857,0.0130216532048959,0.006665957978892134,0.012869295233149669,0.011563528363911169,0.008273732042445525,0.009906374271741292,0.011815384047813793,0.008671200347903307,0.011182279533942574,0.00991688225226045,0.011572159174318364,0.008701417543972134,0.008280348157006567,0.007020156631708463,0.007818542473891521,0.009289427395516803,0.012940116790216505,0.011495027606390429,0.006041671660660997,0.01028677172990028,0.03447336793203065,0.008397553704632466,0.007943527490120172,0.00867483396157398,0.009872070942972766,0.012836651097861362,0.011832182225653465,0.013133721938621612,0.01360634751552664,0.02218008357036405,0.008379475324951258,0.007956179694035392,0.01081826575532202,0.0068718018224213084,0.00633834238363451,0.010568757427843134,0.0060268794907737955,0.008381154133128843
max,0.09548841921125595,0.19908014490601444,0.14354292324979379,0.047978351029623445,0.14511489894353313,0.09881734406811615,0.06158720139468121,0.13539248390155345,0.11611931716436907,0.22990621996974459,0.13097756142936245,0.07751691404675998,0.15328847287251235,0.07435191787155304,0.048491322725698005,0.09515387644904849,0.0837439339945556,0.12163161348672213,0.13535901735711864,0.10224354469841179,0.06072822185745452,0.0865844327710934,0.7403907396600702,0.10855168703795104,0.04532492267740196,0.10334517808579591,0.11595255086609169,0.10655729351377641,0.12660144046662092,0.16570303129279318,0.1537413589813228,0.24369631199783814,0.08881117350316314,0.07462690071425104,0.14191687483457027,0.04269927529713269,0.06309389802961718,0.10133680183689964,0.07870402316174352,0.10599085940820752
annualized_return,0.2091120438137796,0.24558276042814517,0.25195439368253264,0.14921045673190664,0.08254281760106937,0.29309231540076264,0.004248323660731256,0.2827311318417488,0.31344481678849534,0.12231498553287916,0.311176771021109,0.10942638541584217,0.2421932623291208,0.20737672168911772,0.16058771462612942,0.15613338662562595,0.0692380124573156,0.17202531107233252,0.16745164614257108,0.21852035205891218,0.053599561651735156,0.1168579358769631,0.6862573313629159,-0.004207886798619618,0.11345102737852765,0.07753674160386,0.16790847439215376,0.4648539449578661,0.2634049462582034,0.2820646764496135,0.17069772505725075,0.68342736857117,0.1426544211308221,0.12752885451971394,0.20670296281494505,0.11727399952401064,0.13905400407803747,0.22932788409810648,0.12443552029798724,0.16543885022648983
annualized_volatility,0.2102175483029115,0.42296042499371667,0.36975821505297796,0.1753539162295154,0.3616993667984933,0.29911746668833167,0.2307755116132407,0.26900390139981617,0.304300577522441,0.27871927971119453,0.29205692944868095,0.2704527907593248,0.30014009679888504,0.22767239582632304,0.19510370440698288,0.17780214017874788,0.22207310499546778,0.2344563368523243,0.35756600788905973,0.3109614429437549,0.16877436265792659,0.23816978635109315,1.3025519542756583,0.25694086544916955,0.20623335327723485,0.2849491112065039,0.2815355935596371,0.3427298666711942,0.3027701301805234,0.3991886233018167,0.4203581549185468,0.5307755699062501,0.22672829848321532,0.19143038565797355,0.3011962457006635,0.17261346071858388,0.1713717456666373,0.2715105497092268,0.15868561097258643,0.23239583781117615
sharpe_ratio,0.9947411407941122,0.5806282240987285,0.6814030991750468,0.8509103186301789,0.22820835527493438,0.9798569058695359,0.01840890149493448,1.0510298563347975,1.0300500227127567,0.43884651847414513,1.0654661459617507,0.4046043862539411,0.8069340448417571,0.9108557975878305,0.8230890085569379,0.8781299621515359,0.3117802691988688,0.7337200324028142,0.46830974546810245,0.7027249101697699,0.3175811824001447,0.49064970694771226,0.5268560145415003,-0.016376868627976427,0.5501099874277755,0.27210732918436364,0.5964022959554706,1.3563275050196733,0.8699832645352137,0.7065949778742852,0.4060768729235835,1.2876014031540346,0.6291866612379786,0.6661891949983754,0.6862733708187443,0.6794024002288294,0.8114173286682493,0.8446371028444543,0.7841638541473301,0.7118838778898893
